観測日,高品質ピクセル数,全ピクセル数,比率,"観測時刻(平均,時)"
2001-01-01,535.7568627450981,3365,0.1592145208752149,11.156156770985689
2001-01-09,0.0,3365,0.0,10.65696581038169
2001-01-17,74.94901960784316,3365,0.022273111324767655,10.636495500976206
2001-01-25,103.30588235294121,3365,0.030700113626431266,10.716829489275362
2001-02-02,0.0,3365,0.0,
2001-02-10,2029.29411764706,3365,0.6030591731492005,10.891155653629792
2001-02-18,0.0,3365,0.0,11.078667560706933
2001-02-26,1327.1843137254903,3365,0.39440841418290945,10.79114777581517
2001-03-06,0.0,3365,0.0,
2001-03-14,0.0,3365,0.0,10.807167325428193
2001-03-22,2549.5607843137277,3365,0.7576703668094288,11.485657411236204
2001-03-30,74.5843137254902,3365,0.022164729190338843,10.702037226557508
2001-04-07,35.49411764705882,3365,0.010548029018442444,10.889426312906004
2001-04-15,3255.090196078432,3365,0.9673373539609011,11.003815673100107
2001-04-23,26.67843137254902,3365,0.007928211403432101,11.232906949535918
2001-05-01,990.5764705882358,3365,0.2943763657022989,10.658807659508488
2001-05-09,609.0784313725492,3365,0.1810039914925852,10.838315431980872
2001-05-17,478.4901960784314,3365,0.14219619497130204,10.817737758416804
2001-05-25,0.0,3365,0.0,
2001-06-02,0.0,3365,0.0,11.201034275650741
2001-06-10,3293.611764705883,3365,0.9787850712350321,10.843910843151676
2001-06-26,0.0,3365,0.0,
2001-07-04,2026.274509803921,3365,0.6021618156921014,10.803501567406505
2001-07-12,1188.1764705882356,3365,0.3530985053754043,10.937935627736817
2001-07-20,0.0,3365,0.0,10.215208868754631
2001-07-28,253.56470588235288,3365,0.07535355301110042,10.794221547997179
2001-08-05,1161.0470588235296,3365,0.34503627305305484,10.766061351989421
2001-08-13,1028.3176470588237,3365,0.3055921685167381,10.935723708831079
2001-08-21,887.7490196078434,3365,0.26381843078984946,11.005901044750123
2001-08-29,14.349019607843136,3365,0.004264196020161408,11.027935118434605
2001-09-06,341.8313725490196,3365,0.10158436034146198,10.830686661404888
2001-09-14,572.2549019607843,3365,0.17006089211316028,10.902696097781114
2001-09-22,2776.376470588236,3365,0.8250747312297878,10.73062625961036
2001-10-08,308.45882352941175,3365,0.09166681234157853,10.591389532577614
2001-10-16,37.137254901960794,3365,0.011036331323019552,11.193755746691657
2001-10-24,0.0,3365,0.0,11.100000000000001
2001-11-01,45.454901960784305,3365,0.013508143227573344,10.768016803363485
2001-11-09,2076.0980392156866,3365,0.6169682137342308,10.753049546782593
2001-11-17,1819.6470588235302,3365,0.5407569268420594,11.013379173516492
2001-11-25,629.9647058823523,3365,0.18721090813740038,10.921301574852428
2001-12-03,0.0,3365,0.0,10.678330480149995
2001-12-11,0.0,3365,0.0,10.606066689742702
2001-12-19,2074.3490196078437,3365,0.6164484456486906,10.938132394946903
2001-12-27,0.0,3365,0.0,10.377324001116442
