日時,全体ピクセル数,有効ピクセル率,出力有無,観測時刻
2020-02-14,13537,0.0,False,03:17:16
2020-05-04,54599,0.947,False,03:16:40
2020-05-20,20668,0.0,False,03:16:40
2020-06-05,15095,0.0,False,03:16:46
2020-06-21,21957,0.972,False,03:16:56
2020-07-07,22054,0.0,False,03:17:03
2020-07-23,15948,0.241,False,03:17:08
2020-08-08,6048,0.353,False,03:17:12
2020-08-24,11270,0.745,False,03:17:19
2020-09-25,29035,0.132,False,03:17:31
2020-10-11,25756,0.954,False,03:17:34
2020-10-27,20610,0.687,False,03:17:33
2020-11-12,3725,0.876,False,03:17:30
2020-11-28,20510,0.287,False,03:17:34
2020-05-04,210759,0.968,False,03:17:04
2020-05-20,104088,0.203,False,03:17:04
2020-06-05,89808,0.0,False,03:17:10
2020-06-21,107566,0.977,False,03:17:20
2020-07-07,107846,0.544,False,03:17:27
2020-07-23,91906,0.662,False,03:17:32
2020-08-08,65636,0.098,False,03:17:36
2020-08-24,79818,0.939,False,03:17:43
2020-09-25,126985,0.002,False,03:17:55
2020-10-11,117805,0.535,False,03:17:58
2020-10-27,103792,0.18,False,03:17:57
2020-11-12,58839,0.964,False,03:17:54
2020-11-28,103504,0.819,False,03:17:58
2020-12-14,127681,0.215,False,03:17:59
2020-02-21,3471095,0.0,False,03:23:25
2020-03-08,3476151,0.491,False,03:23:19
2020-03-24,3477474,0.642,True,03:23:11
2020-04-09,3480221,0.0,False,03:23:03
2020-05-11,3482616,0.036,False,03:22:49
2020-05-27,3466820,0.419,False,03:22:52
2020-06-12,3472373,0.329,False,03:23:02
2020-06-28,3475690,0.983,True,03:23:10
2020-07-14,3473541,0.727,True,03:23:16
2020-07-30,3467445,0.902,True,03:23:21
2020-08-31,3469474,0.032,False,03:23:33
2020-09-16,3476480,0.598,True,03:23:40
2020-10-02,3479149,0.001,False,03:23:44
2020-10-18,3476723,0.0,False,03:23:45
2020-11-19,3468484,0.012,False,03:23:43
2020-12-05,3478617,0.0,False,03:23:46
2020-01-04,2011541,0.0,False,03:24:01
2020-03-08,1980708,0.408,False,03:23:43
2020-03-24,1975247,0.668,True,03:23:35
2020-05-11,1962802,0.028,False,03:23:12
2020-05-27,1997919,0.727,True,03:23:16
2020-06-12,1985398,0.233,False,03:23:25
2020-06-28,1978533,0.996,True,03:23:34
2020-07-14,1983516,0.701,True,03:23:40
2020-07-30,1999730,0.949,True,03:23:45
2020-08-15,2011731,0.0,False,03:23:49
2020-08-31,1991774,0.036,False,03:23:57
2020-09-16,1975272,0.794,True,03:24:03
2020-10-02,1971606,0.0,False,03:24:07
2020-11-19,2000833,0.007,False,03:24:07
2020-12-05,1975066,0.562,True,03:24:10
2020-12-21,1971614,0.0,False,03:24:08
