日時,全体ピクセル数,有効ピクセル率,出力有無,観測時刻
2019-03-31,24291,0.042,False,03:16:47
2019-05-02,18910,0.0,False,03:16:39
2019-05-18,27927,0.975,False,03:16:50
2019-06-03,34873,0.0,False,03:16:58
2019-06-19,32471,0.97,False,03:17:05
2019-07-05,22056,0.0,False,03:17:09
2019-07-21,6764,0.927,False,03:17:12
2019-08-06,10798,0.946,False,03:17:19
2019-08-22,13139,0.0,False,03:17:24
2019-09-07,9945,0.942,False,03:17:27
2019-09-23,20519,0.969,False,03:17:33
2019-10-09,25529,0.0,False,03:17:36
2019-10-25,25303,0.0,False,03:17:38
2019-11-10,19702,0.966,False,03:17:36
2019-11-26,12621,0.695,False,03:17:33
2019-12-12,13338,0.953,False,03:17:32
2019-12-28,8631,0.0,False,03:17:28
2019-03-31,113590,0.076,False,03:17:10
2019-05-18,123900,0.976,False,03:17:14
2019-06-03,145394,0.053,False,03:17:22
2019-06-19,137415,0.211,False,03:17:28
2019-07-05,107851,0.778,False,03:17:33
2019-07-21,67744,0.093,False,03:17:36
2019-08-06,78565,0.51,False,03:17:43
2019-08-22,84665,0.0,False,03:17:48
2019-09-07,76192,0.972,False,03:17:51
2019-09-23,103609,0.975,False,03:17:57
2019-10-09,117171,0.22,False,03:18:00
2019-10-25,116516,0.214,False,03:18:01
2019-11-10,101381,0.975,False,03:18:00
2019-12-12,85104,0.972,False,03:17:56
2019-12-28,72578,0.21,False,03:17:52
2019-02-02,3458553,0.0,False,03:23:11
2019-02-18,3464018,0.595,True,03:23:08
2019-03-06,3464265,0.536,True,03:23:04
2019-03-22,3469142,0.273,False,03:22:59
2019-04-07,3479781,0.441,False,03:22:55
2019-04-23,3483656,0.002,False,03:22:49
2019-05-25,3480946,0.655,True,03:23:05
2019-06-10,3483052,0.0,False,03:23:12
2019-06-26,3477613,0.85,True,03:23:17
2019-07-12,3468821,0.0,False,03:23:21
2019-07-28,3465132,0.554,True,03:23:26
2019-08-13,3467862,0.82,True,03:23:32
2019-08-29,3464902,0.31,False,03:23:36
2019-09-14,3468791,0.955,True,03:23:41
2019-09-30,3475394,0.999,True,03:23:46
2019-10-16,3478761,0.642,True,03:23:48
2019-11-17,3467883,0.289,False,03:23:45
2019-12-03,3467219,0.954,True,03:23:44
2019-12-19,3467553,0.14,False,03:23:41
2019-02-02,2015726,0.17,False,03:23:34
2019-02-18,2007914,0.47,False,03:23:32
2019-03-06,2005271,0.003,False,03:23:28
2019-03-22,1992368,0.025,False,03:23:23
2019-04-07,1972142,0.472,False,03:23:19
2019-04-23,1962727,0.0,False,03:23:13
2019-05-25,1963232,0.62,True,03:23:29
2019-06-10,1962504,0.0,False,03:23:36
2019-06-26,1973692,0.945,True,03:23:41
2019-07-12,1996546,0.001,False,03:23:45
2019-07-28,2002551,0.738,True,03:23:50
2019-08-13,1998295,0.826,True,03:23:56
2019-08-29,2002508,0.059,False,03:24:00
2019-09-14,1997795,0.945,True,03:24:05
2019-09-30,1982525,0.996,True,03:24:09
2019-10-16,1974731,0.528,True,03:24:12
2019-11-17,1998302,0.213,False,03:24:09
2019-12-03,1997110,0.965,True,03:24:08
2019-12-19,2000266,0.178,False,03:24:05
