日時,全体ピクセル数,有効ピクセル率,出力有無,観測時刻
2021-01-15,8742,0.0,False,03:17:24
2021-02-16,16064,0.0,False,03:17:18
2021-04-21,45733,0.323,False,03:16:52
2021-05-07,29868,0.094,False,03:16:43
2021-05-23,46666,0.053,False,03:16:54
2021-06-08,47108,0.0,False,03:17:01
2021-07-10,14026,0.003,False,03:17:08
2021-07-26,13778,0.006,False,03:17:14
2021-08-11,18348,0.0,False,03:17:21
2021-08-27,16931,0.212,False,03:17:26
2021-09-12,19461,0.966,False,03:17:30
2021-09-28,22859,0.675,False,03:17:34
2021-11-15,14156,0.884,False,03:17:35
2021-12-01,21102,0.971,False,03:17:35
2021-12-17,25480,0.024,False,03:17:34
2021-01-15,72876,0.0,False,03:17:48
2021-02-16,92023,0.0,False,03:17:42
2021-04-21,180273,0.967,False,03:17:16
2021-05-07,129674,0.558,False,03:17:07
2021-05-23,184500,0.288,False,03:17:18
2021-06-08,185919,0.0,False,03:17:25
2021-06-24,154353,0.0,False,03:17:30
2021-07-10,87060,0.055,False,03:17:32
2021-07-26,86381,0.006,False,03:17:38
2021-08-11,97870,0.0,False,03:17:45
2021-08-27,94407,0.063,False,03:17:49
2021-09-12,100822,0.973,False,03:17:54
2021-09-28,109876,0.918,False,03:17:58
2021-11-15,87326,0.0,False,03:17:59
2021-12-01,105209,0.976,False,03:17:59
2021-12-17,117010,0.004,False,03:17:58
2021-01-22,3460552,0.012,False,03:23:33
2021-02-07,3468837,0.223,False,03:23:31
2021-02-23,3470496,0.313,False,03:23:26
2021-05-14,3487135,0.556,True,03:22:59
2021-05-30,3492455,0.481,False,03:23:08
2021-06-15,3488631,0.944,True,03:23:15
2021-07-01,3478632,0.012,False,03:23:18
2021-07-17,3463685,0.958,True,03:23:20
2021-08-02,3471341,0.626,True,03:23:28
2021-08-18,3471483,0.965,True,03:23:34
2021-09-03,3470859,0.252,False,03:23:39
2021-09-19,3470165,0.597,True,03:23:42
2021-10-05,3480274,0.692,True,03:23:47
2021-11-06,3480069,0.033,False,03:23:49
2021-12-08,3477228,0.058,False,03:23:46
2021-12-24,3472670,0.193,False,03:23:43
2021-01-22,2013375,0.0,False,03:23:57
2021-02-07,1995118,0.274,False,03:23:55
2021-02-23,1989479,0.439,False,03:23:50
2021-03-11,2000244,0.0,False,03:23:42
2021-03-27,1983899,0.0,False,03:23:36
2021-04-12,1953293,0.043,False,03:23:31
2021-05-14,1952887,0.581,True,03:23:23
2021-05-30,1940572,0.653,True,03:23:32
2021-06-15,1947810,0.898,True,03:23:39
2021-07-01,1971619,0.0,False,03:23:42
2021-07-17,2009752,0.919,True,03:23:44
2021-08-02,1992139,0.839,True,03:23:52
2021-08-18,1987330,0.978,True,03:23:58
2021-09-03,1988621,0.252,False,03:24:03
2021-09-19,1990348,0.654,True,03:24:06
2021-10-05,1967094,0.745,True,03:24:11
2021-10-21,1954822,0.0,False,03:24:14
2021-11-06,1967675,0.028,False,03:24:13
2021-12-08,1973301,0.0,False,03:24:10
2021-12-24,1983551,0.238,False,03:24:07
