日時,全体ピクセル数,有効ピクセル率,出力有無,観測時刻
2024-03-12,51205,0.965,False,03:17:05
2024-04-29,53784,0.0,False,03:16:37
2024-05-15,32383,0.0,False,03:16:22
2024-06-16,20593,0.0,False,03:16:22
2024-07-18,52242,0.0,False,03:16:46
2024-08-03,29421,0.0,False,03:16:49
2024-08-19,36701,0.0,False,03:16:58
2024-09-04,50551,0.983,False,03:17:06
2024-09-20,40106,0.0,False,03:17:09
2024-10-06,8511,0.935,False,03:17:06
2024-10-22,51238,0.742,False,03:17:18
2024-11-07,27526,0.975,False,03:17:15
2024-11-23,61031,0.0,False,03:17:23
2024-01-08,116785,0.015,False,03:17:44
2024-03-12,198334,0.95,False,03:17:29
2024-04-29,207294,0.0,False,03:17:01
2024-05-15,136764,0.0,False,03:16:46
2024-06-16,104026,0.066,False,03:16:46
2024-08-03,128220,0.0,False,03:17:13
2024-08-19,151366,0.0,False,03:17:22
2024-09-04,197856,0.974,False,03:17:30
2024-09-20,162227,0.45,False,03:17:33
2024-10-06,72238,0.964,False,03:17:30
2024-10-22,199707,0.493,False,03:17:42
2024-11-07,122549,0.976,False,03:17:39
2024-11-23,233603,0.0,False,03:17:47
2024-01-15,3488236,0.0,False,03:23:32
2024-01-31,3484723,0.0,False,03:23:28
2024-03-03,3499212,0.0,False,03:23:21
2024-04-04,3489282,0.034,False,03:23:01
2024-04-20,3491401,0.825,True,03:22:52
2024-05-22,3489346,0.0,False,03:22:30
2024-06-23,3484060,0.004,False,03:22:39
2024-07-09,3480179,0.389,False,03:22:47
2024-07-25,3498374,0.005,False,03:23:02
2024-08-10,3470610,0.986,True,03:23:00
2024-08-26,3480016,0.083,False,03:23:10
2024-09-27,3465728,0.64,True,03:23:15
2024-10-13,3488064,0.678,True,03:23:26
2024-10-29,3472443,0.0,False,03:23:23
2024-11-14,3465686,0.284,False,03:23:23
2024-11-30,3505329,0.999,True,03:23:36
2024-01-31,1957673,0.0,False,03:23:52
2024-03-03,1924122,0.006,False,03:23:45
2024-04-04,1948861,0.009,False,03:23:25
2024-04-20,1943675,0.715,True,03:23:16
2024-05-06,1931543,0.0,False,03:23:07
2024-05-22,1948909,0.288,False,03:22:54
2024-06-07,1963611,0.002,False,03:22:54
2024-06-23,1960127,0.0,False,03:23:03
2024-07-09,1969835,0.7,True,03:23:11
2024-08-10,1990406,0.993,True,03:23:24
2024-08-26,1967957,0.298,False,03:23:34
2024-09-27,2002444,0.693,True,03:23:39
2024-10-13,1950448,0.651,True,03:23:49
2024-11-14,2000731,0.383,False,03:23:47
2024-11-30,1909594,0.997,True,03:24:00
